poi_id,longitude,latitude,poi_code
222-222@62j-rcn-cdv,-71.356851,42.861347,713940
222-222@62j-rcp-j9z,-71.363526,42.845725,713940
222-222@62j-rct-tvz,-71.347974,42.87269,713940
222-222@62j-rgz-hh5,-71.20021,42.704498,713940
222-222@62j-rh6-94v,-71.211226,42.757905,713940
222-222@62j-rjv-dn5,-71.156673,42.776518,713940
222-222@62j-rk9-8jv,-71.139351,42.731182,713940
222-222@62j-rkb-gff,-71.115246,42.696763,713940
222-222@62j-rkd-7kf,-71.171788,42.732645,713940
222-222@62j-rkh-fpv,-71.251317,42.780945,713940
222-222@62j-rkp-8vz,-71.240557,42.762441,713940
222-222@62j-rr6-ht9,-71.444737,42.673184,713940
222-222@62j-rr6-mhq,-71.443027,42.674771,713940
222-222@62j-rrj-3nq,-71.431268,42.688506,713940
222-222@62j-rz5-tgk,-71.116715,42.775394,713940
222-222@62j-rz6-p7q,-71.103772,42.78535,713940
222-222@62j-sbv-s5z,-71.228276,42.448701,713940
222-222@62j-sc2-jd9,-71.209258,42.486475,713940
222-222@62j-sc3-rrk,-71.207397,42.465601,713940
222-222@62j-sc5-45f,-71.249387,42.476783,713940
222-222@62j-scj-skf,-71.234221,42.422523,713940
222-222@62j-scp-r8v,-71.293559,42.477946,713940
222-222@62j-sd6-w8v,-71.32526,42.414889,713940
222-222@62j-sdc-f4v,-71.258631,42.418267,713940
222-222@62j-sdn-kxq,-71.187428,42.499345,713940
222-222@62j-sdp-2x5,-71.185276,42.481986,713940
222-222@62j-sdp-3dv,-71.185231,42.482966,713940
222-222@62j-sdr-rhq,-71.158954,42.526682,713940
222-222@62j-sds-tvz,-71.13584,42.506671,713940
222-222@62j-sdt-7kf,-71.143619,42.508747,713940
222-222@62j-sdt-9fz,-71.135092,42.509973,713940
222-222@62j-sf4-g49,-71.182382,42.424696,713940
222-222@62j-sf5-mtv,-71.135714,42.46481,713940
222-222@62j-sf6-9fz,-71.136052,42.468661,713940
222-222@62j-sf9-4sq,-71.182115,42.455794,713940
222-222@62j-sff-8qf,-71.226821,42.492941,713940
222-222@62j-sfg-54v,-71.236302,42.50891,713940
222-222@62j-sg8-ht9,-71.135285,42.339749,713940
222-222@62j-sgb-zpv,-71.164341,42.326443,713940
222-222@62j-sgf-dgk,-71.112485,42.348406,713940
222-222@62j-sgf-rc5,-71.124495,42.352487,713940
222-222@62j-sgg-c3q,-71.099863,42.350514,713940
222-222@62j-sgg-xdv,-71.092804,42.332035,713940
222-222@62j-sgj-f2k,-71.137304,42.349992,713940
222-222@62j-sgk-hkf,-71.146138,42.356709,713940
